t,in_mass_flow,out_mass_flow
0.005,0,0
0.01,0,0
0.015,0,0
0.02,0,0
0.025,0,0
0.03,0,0
0.035,0,0
0.04,0,0
0.045,0,0
0.05,0,0
0.055,2.93215314335027e-05,0
0.06,0,0
0.065,2.93215314335027e-05,0
0.07,2.93215314335027e-05,0
0.075,2.93215314335027e-05,0
0.08,2.93215314335027e-05,0
0.085,0,0
0.09,5.86430628670055e-05,0
0.095,0,0
0.1,2.93215314335028e-05,0
0.105,0,0
0.11,5.86430628670055e-05,0
0.115,2.93215314335028e-05,0
0.12,0,0
0.125,2.93215314335028e-05,0
0.13,0,0
0.135,0,0
0.14,0,0
0.145,0,0
0.15,2.93215314335028e-05,0
0.155,0,0
0.16,0,0
0.165,8.79645943005083e-05,0
0.17,0,0
0.175,0,0
0.18,0,0
0.185,2.93215314335028e-05,0
0.19,0,0
0.195,2.93215314335028e-05,0
0.2,0,0
0.205,2.93215314335028e-05,0
0.21,5.86430628670055e-05,0
0.215,0,0
0.22,5.86430628670055e-05,0
0.225,0,0
0.23,0,0
0.235,0,0
0.24,0,0
0.245,0,0
0.25,2.93215314335028e-05,0
0.255,0,0
0.26,2.93215314335028e-05,0
0.265,0,0
0.27,0,0
0.275,0,0
0.28,0,0
0.285,0,0
0.29,0,0
0.295,2.93215314335028e-05,0
0.3,0,0
0.305,0,0
0.31,0,0
0.315,0,0
0.32,2.93215314335027e-05,0
0.325,5.86430628670054e-05,0
0.33,0,0
0.335,2.93215314335027e-05,0
0.34,0,0
0.345,2.93215314335027e-05,0
0.35,0,0
0.355,2.93215314335027e-05,0
0.36,2.93215314335027e-05,0
0.365,0,0
0.37,5.86430628670054e-05,0
0.375,0,0
0.38,0,0
0.385,0,0
0.39,0,0
0.395,0,0
0.4,2.93215314335027e-05,0
0.405,2.93215314335027e-05,0
0.41,2.93215314335027e-05,0
0.415,0,0
0.42,0,0
0.425,5.86430628670054e-05,0
0.43,2.93215314335027e-05,0
0.435,0,0
0.44,5.86430628670054e-05,0
0.445,0,0
0.45,0,0
0.455,0,0
0.46,0,0
0.465,2.93215314335027e-05,0
0.47,0,0
0.475,0,0
0.48,0,0
0.485,0,0
0.49,0,0
0.495,0,0
0.5,0,0
0.505,0,0
0.51,2.93215314335027e-05,0
0.515,2.93215314335027e-05,0
0.52,0,0
0.525,0,0
0.53,0,0
0.535,2.93215314335027e-05,0
0.54,5.86430628670054e-05,0
0.545,0,0
0.55,0,0
0.555,0,0
0.56,0,0
0.565,0,0
0.57,2.93215314335027e-05,0
0.575,2.93215314335027e-05,0
0.58,2.93215314335027e-05,0
0.585,0,0
0.59,2.93215314335029e-05,0
0.595,0,0
0.6,0,0
0.605,0,0
0.61,0,0
0.615,2.93215314335029e-05,0
0.62,0,0
0.625,0,0
0.63,2.93215314335029e-05,0
0.635,2.93215314335029e-05,0
0.64,0.000117286125734011,0
0.645,0,0
0.65,0,0
0.655,0,0
0.66,0,0
0.665,2.93215314335029e-05,0
0.67,2.93215314335029e-05,0
0.675,2.93215314335029e-05,0
0.68,0,0
0.685,0,0
0.69,0,0
0.695,0,0
0.7,0,0
0.705,0,0
